league,season,game,date,home_team,away_team,B365H,B365D,B365A,WHH,WHD,WHA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,pAvgH,pAvgD,pAvgA
ENG-Premier League,2223,2023-04-05 Manchester Utd-Brentford,2023-04-05 20:00:00,Manchester Utd,Brentford,1.65,4.0,5.0,1.63,4.0,5.0,1.71,4.4,5.3,1.65,4.17,5.07,0.5889634056544144,0.22656052448851072,0.1844760698566295
ENG-Premier League,2223,2023-04-05 West Ham-Newcastle Utd,2023-04-05 20:00:00,West Ham,Newcastle Utd,3.6,3.25,2.15,3.5,3.3,2.15,3.67,3.53,2.2,3.53,3.41,2.15,0.27005673833517374,0.27992098637453516,0.45002227528983835
ENG-Premier League,2223,2023-04-08 Aston Villa-Nott'ham Forest,2023-04-08 15:00:00,Aston Villa,Nott'ham Forest,1.6,4.2,5.25,1.6,3.8,5.8,1.65,4.3,6.0,1.62,4.09,5.55,0.6005190949875054,0.23154097762085152,0.16793992739208144
ENG-Premier League,2223,2023-04-08 Brentford-Newcastle Utd,2023-04-08 15:00:00,Brentford,Newcastle Utd,3.6,3.4,2.05,3.7,3.3,2.05,3.7,3.58,2.15,3.57,3.46,2.1,0.2657673293575009,0.2745705125672948,0.45966215807476285
ENG-Premier League,2223,2023-04-08 Fulham-West Ham,2023-04-08 15:00:00,Fulham,West Ham,2.8,3.25,2.63,2.75,3.2,2.62,2.86,3.33,2.75,2.79,3.24,2.66,0.34397256299928164,0.29472334889672214,0.36130408810446485
ENG-Premier League,2223,2023-04-08 Leicester City-Bournemouth,2023-04-08 15:00:00,Leicester City,Bournemouth,1.83,3.75,4.2,1.83,3.6,4.2,1.92,3.85,4.33,1.88,3.72,4.11,0.5152481571102504,0.25498577083548335,0.22976607205383037
ENG-Premier League,2223,2023-04-08 Manchester Utd-Everton,2023-04-08 12:30:00,Manchester Utd,Everton,1.5,4.33,6.5,1.47,4.2,7.0,1.54,4.5,7.5,1.5,4.37,6.75,0.6487096970804532,0.21550192983842975,0.1357883730807085
ENG-Premier League,2223,2023-04-08 Southampton-Manchester City,2023-04-08 17:30:00,Southampton,Manchester City,11.0,6.0,1.25,13.0,5.8,1.24,13.5,6.6,1.27,12.48,6.19,1.25,0.06912403156317813,0.14939296147479722,0.7814830069623874
ENG-Premier League,2223,2023-04-08 Tottenham-Brighton,2023-04-08 15:00:00,Tottenham,Brighton,2.55,3.5,2.7,2.5,3.5,2.7,2.63,3.71,2.75,2.56,3.56,2.69,0.3757413861052889,0.2671946959000942,0.3570639179950782
ENG-Premier League,2223,2023-04-08 Wolves-Chelsea,2023-04-08 15:00:00,Wolves,Chelsea,4.2,3.5,1.91,4.2,3.3,1.95,4.3,3.61,2.0,4.14,3.47,1.95,0.22847950901864994,0.274611358984776,0.49690913199611136
ENG-Premier League,2223,2023-04-09 Leeds United-Crystal Palace,2023-04-09 14:00:00,Leeds United,Crystal Palace,2.1,3.4,3.6,2.1,3.25,3.6,2.16,3.55,3.7,2.11,3.41,3.59,0.45727895536686725,0.2786272789271353,0.2640937657055576
ENG-Premier League,2223,2023-04-09 Liverpool-Arsenal,2023-04-09 16:30:00,Liverpool,Arsenal,2.88,3.6,2.38,2.7,3.6,2.4,2.95,3.88,2.5,2.79,3.69,2.41,0.34351647734040147,0.2570660716627316,0.3994174509973223
ENG-Premier League,2223,2023-04-15 Aston Villa-Newcastle Utd,2023-04-15 12:30:00,Aston Villa,Newcastle Utd,3.6,3.4,2.05,3.6,3.3,2.1,3.8,3.56,2.19,3.61,3.42,2.13,0.2647104419870275,0.27994872642846513,0.45534083158405575
ENG-Premier League,2223,2023-04-15 Chelsea-Brighton,2023-04-15 15:00:00,Chelsea,Brighton,2.63,3.4,2.63,2.62,3.3,2.62,2.75,3.58,2.75,2.67,3.42,2.68,0.36090004739949727,0.27958364324194046,0.35951630935810663
ENG-Premier League,2223,2023-04-15 Everton-Fulham,2023-04-15 15:00:00,Everton,Fulham,2.05,3.4,3.7,2.05,3.25,3.8,2.12,3.56,3.9,2.07,3.39,3.78,0.4674624234839215,0.2813219390151863,0.2512156375013412
ENG-Premier League,2223,2023-04-15 Manchester City-Leicester City,2023-04-15 17:30:00,Manchester City,Leicester City,1.14,8.5,15.0,1.14,7.5,19.0,1.18,9.6,21.0,1.16,8.49,17.32,0.844778796224127,0.10715878897982721,0.048062414795740145
ENG-Premier League,2223,2023-04-15 Southampton-Crystal Palace,2023-04-15 15:00:00,Southampton,Crystal Palace,2.8,3.1,2.7,2.75,3.2,2.6,2.93,3.34,2.75,2.82,3.2,2.68,0.34111609857585606,0.2994271522067792,0.3594567492178249
ENG-Premier League,2223,2023-04-15 Tottenham-Bournemouth,2023-04-15 15:00:00,Tottenham,Bournemouth,1.45,4.5,7.0,1.47,4.33,7.0,1.52,4.9,7.3,1.47,4.6,6.83,0.6619964215338839,0.2040549196331665,0.13394865883338275
ENG-Premier League,2223,2023-04-15 Wolves-Brentford,2023-04-15 15:00:00,Wolves,Brentford,2.45,3.1,3.0,2.45,3.1,3.0,2.59,3.38,3.15,2.52,3.23,3.0,0.3830801216837588,0.2967096422608617,0.3202102360549071
ENG-Premier League,2223,2023-04-16 Nott'ham Forest-Manchester Utd,2023-04-16 16:30:00,Nott'ham Forest,Manchester Utd,5.5,4.0,1.62,5.0,3.8,1.67,5.5,4.1,1.75,5.0,3.96,1.69,0.18687858761972154,0.23879289575154644,0.5743285166291914
ENG-Premier League,2223,2023-04-16 West Ham-Arsenal,2023-04-16 14:00:00,West Ham,Arsenal,6.0,4.2,1.55,5.8,4.0,1.57,6.2,4.4,1.61,5.92,4.22,1.57,0.15655308329143675,0.22381630421216703,0.6196306124959722
ENG-Premier League,2223,2023-04-17 Leeds United-Liverpool,2023-04-17 20:00:00,Leeds United,Liverpool,4.2,4.2,1.73,4.33,4.0,1.73,4.54,4.6,1.77,4.35,4.22,1.73,0.21622668681623777,0.22322543107438073,0.5605478821089174
ENG-Premier League,2223,2023-04-21 Arsenal-Southampton,2023-04-21 20:00:00,Arsenal,Southampton,1.2,7.0,13.0,1.18,7.0,15.0,1.23,7.9,17.0,1.2,7.18,14.72,0.8149852429736055,0.1276322649078168,0.057382492118913456
ENG-Premier League,2223,2023-04-22 Brentford-Aston Villa,2023-04-22 15:00:00,Brentford,Aston Villa,2.5,3.25,2.88,2.5,3.3,2.8,2.61,3.53,2.9,2.53,3.38,2.84,0.38034028244106155,0.28200543822642427,0.33765427933298353
ENG-Premier League,2223,2023-04-22 Crystal Palace-Everton,2023-04-22 15:00:00,Crystal Palace,Everton,2.05,3.2,3.75,2.1,3.2,3.75,2.18,3.35,4.1,2.11,3.25,3.83,0.4583650150434202,0.2938636483009741,0.24777133665605564
ENG-Premier League,2223,2023-04-22 Fulham-Leeds United,2023-04-22 12:30:00,Fulham,Leeds United,2.3,3.4,3.1,2.35,3.4,2.9,2.47,3.55,3.1,2.38,3.44,3.01,0.4050344079755948,0.2769425100632982,0.31802308196157686
ENG-Premier League,2223,2023-04-22 Leicester City-Wolves,2023-04-22 15:00:00,Leicester City,Wolves,2.38,3.3,3.0,2.4,3.2,3.0,2.5,3.36,3.21,2.45,3.27,3.05,0.39358751264870884,0.2922922241342298,0.31412026321658437
ENG-Premier League,2223,2023-04-22 Liverpool-Nott'ham Forest,2023-04-22 15:00:00,Liverpool,Nott'ham Forest,1.17,7.5,17.0,1.17,7.0,17.0,1.21,8.2,19.5,1.18,7.64,16.06,0.8289374908133557,0.11928269936568,0.05177980982132246
ENG-Premier League,2223,2023-04-23 Bournemouth-West Ham,2023-04-23 14:00:00,Bournemouth,West Ham,2.88,3.2,2.55,2.8,3.2,2.55,2.91,3.35,2.75,2.83,3.25,2.61,0.3385672624357296,0.2934043347945123,0.368028402770215
ENG-Premier League,2223,2023-04-23 Newcastle Utd-Tottenham,2023-04-23 14:00:00,Newcastle Utd,Tottenham,1.83,3.75,4.2,1.85,3.7,4.0,1.92,4.0,4.4,1.85,3.81,4.22,0.5253120930081578,0.24996314543917664,0.2247247615531318
ENG-Premier League,2223,2023-04-25 Aston Villa-Fulham,2023-04-25 19:45:00,Aston Villa,Fulham,1.75,4.0,4.2,1.8,3.6,4.4,1.84,4.1,4.6,1.8,3.87,4.43,0.5402896565472608,0.24601994921003617,0.21369039424316327
ENG-Premier League,2223,2023-04-25 Leeds United-Leicester City,2023-04-25 20:00:00,Leeds United,Leicester City,2.3,3.5,3.0,2.35,3.4,2.9,2.45,3.67,3.1,2.37,3.54,2.98,0.407865427161629,0.2697907203906468,0.32234385244725655
ENG-Premier League,2223,2023-04-25 Wolves-Crystal Palace,2023-04-25 19:30:00,Wolves,Crystal Palace,2.45,3.2,3.0,2.5,3.0,3.1,2.58,3.23,3.25,2.52,3.14,3.09,0.38336611969597284,0.305765310395957,0.31086856990853834
ENG-Premier League,2223,2023-04-26 Chelsea-Brentford,2023-04-26 19:45:00,Chelsea,Brentford,1.7,4.0,4.75,1.67,3.8,5.0,1.75,4.1,5.25,1.71,3.89,5.02,0.568709953543138,0.244267412857894,0.18702263359851884
ENG-Premier League,2223,2023-04-26 Manchester City-Arsenal,2023-04-26 20:00:00,Manchester City,Arsenal,1.55,4.5,5.25,1.52,4.33,5.8,1.61,4.8,6.4,1.56,4.49,5.7,0.6251339468216746,0.21082389601682344,0.164042157161064
ENG-Premier League,2223,2023-04-26 Nott'ham Forest-Brighton,2023-04-26 19:30:00,Nott'ham Forest,Brighton,6.0,4.2,1.53,6.0,4.2,1.52,6.5,4.6,1.58,6.08,4.36,1.54,0.15205469765362503,0.2161781534033385,0.6317671489425961
ENG-Premier League,2223,2023-04-26 West Ham-Liverpool,2023-04-26 19:45:00,West Ham,Liverpool,3.9,3.9,1.85,3.9,3.7,1.88,4.2,4.0,1.92,3.96,3.86,1.88,0.2390414624498365,0.24551049940374253,0.5154480381459704
ENG-Premier League,2223,2023-04-27 Everton-Newcastle Utd,2023-04-27 19:45:00,Everton,Newcastle Utd,4.75,3.6,1.73,4.75,3.5,1.78,5.2,3.88,1.81,4.84,3.7,1.77,0.1941244559339902,0.2570912761668945,0.5487842678995594
ENG-Premier League,2223,2023-04-27 Southampton-Bournemouth,2023-04-27 19:45:00,Southampton,Bournemouth,2.25,3.4,3.2,2.25,3.3,3.2,2.39,3.57,3.22,2.3,3.43,3.15,0.41925037381648916,0.27755954753958495,0.30319007864345815
ENG-Premier League,2223,2023-04-27 Tottenham-Manchester Utd,2023-04-27 20:15:00,Tottenham,Manchester Utd,2.8,3.6,2.4,2.8,3.5,2.38,2.85,3.82,2.53,2.79,3.65,2.44,0.34422613085410514,0.26066694865462847,0.3951069204908142
ENG-Premier League,2223,2023-04-29 Brentford-Nott'ham Forest,2023-04-29 15:00:00,Brentford,Nott'ham Forest,1.65,3.8,5.5,1.65,3.7,5.5,1.7,4.0,5.7,1.66,3.88,5.5,0.5857972199355255,0.2446376918578304,0.16956508820618565
ENG-Premier League,2223,2023-04-29 Brighton-Wolves,2023-04-29 15:00:00,Brighton,Wolves,1.5,4.33,6.5,1.47,4.2,7.0,1.54,4.6,7.0,1.51,4.37,6.69,0.6455936104541523,0.21644120041655643,0.13796518912886113
ENG-Premier League,2223,2023-04-29 Crystal Palace-West Ham,2023-04-29 12:30:00,Crystal Palace,West Ham,2.63,3.25,2.75,2.7,3.1,2.7,2.88,3.28,2.9,2.7,3.18,2.81,0.3565646595806909,0.3012236873851222,0.3422116530346477
ENG-Premier League,2223,2023-04-30 Bournemouth-Leeds United,2023-04-30 14:00:00,Bournemouth,Leeds United,2.55,3.5,2.7,2.55,3.4,2.7,2.67,3.62,2.75,2.61,3.5,2.68,0.3687717441233143,0.27236077615738297,0.35886747971884814
ENG-Premier League,2223,2023-04-30 Fulham-Manchester City,2023-04-30 14:00:00,Fulham,Manchester City,12.0,6.0,1.25,12.0,5.8,1.24,13.0,6.6,1.28,11.95,6.23,1.25,0.07197363173895076,0.14764430950332194,0.7803820587580959
ENG-Premier League,2223,2023-04-30 Liverpool-Tottenham,2023-04-30 16:30:00,Liverpool,Tottenham,1.53,4.5,5.75,1.52,4.5,5.5,1.6,5.0,6.05,1.54,4.69,5.68,0.6336035549847479,0.20158666446729664,0.16480978054839052
ENG-Premier League,2223,2023-04-30 Manchester Utd-Aston Villa,2023-04-30 14:00:00,Manchester Utd,Aston Villa,1.73,3.9,4.6,1.78,3.75,4.33,1.83,4.1,4.7,1.78,3.94,4.35,0.5442582761358421,0.23969060787556165,0.21605111598815865
ENG-Premier League,2223,2023-04-30 Newcastle Utd-Southampton,2023-04-30 14:00:00,Newcastle Utd,Southampton,1.3,5.25,10.0,1.32,5.0,10.0,1.35,6.0,11.0,1.32,5.46,9.9,0.7394683804618503,0.17080869570499776,0.08972292383273203
ENG-Premier League,2223,2023-05-01 Leicester City-Everton,2023-05-01 20:00:00,Leicester City,Everton,2.0,3.5,3.75,2.05,3.3,3.7,2.1,3.6,4.0,2.04,3.45,3.79,0.474027990581903,0.27584252786500923,0.25012948155262316
ENG-Premier League,2223,2023-05-02 Arsenal-Chelsea,2023-05-02 20:00:00,Arsenal,Chelsea,1.6,4.0,5.5,1.57,4.0,5.8,1.64,4.4,6.1,1.59,4.22,5.75,0.6129031507579186,0.22474037921119142,0.16235647003046572
ENG-Premier League,2223,2023-05-03 Liverpool-Fulham,2023-05-03 20:00:00,Liverpool,Fulham,1.25,5.75,11.0,1.25,5.8,11.0,1.3,7.0,12.0,1.26,6.39,10.73,0.7744788980233309,0.14395509310350008,0.08156600887351602
ENG-Premier League,2223,2023-05-03 Manchester City-West Ham,2023-05-03 20:00:00,Manchester City,West Ham,1.2,7.0,13.0,1.18,7.0,15.0,1.23,8.0,15.0,1.2,7.21,13.79,0.8132020565501,0.12592624904494243,0.0608716944053322
ENG-Premier League,2223,2023-05-04 Brighton-Manchester Utd,2023-05-04 20:00:00,Brighton,Manchester Utd,1.95,3.5,3.75,2.0,3.7,3.4,2.08,4.02,3.75,2.03,3.82,3.5,0.47780327155062996,0.24925306307868839,0.27294366537020637
ENG-Premier League,2223,2023-05-06 Bournemouth-Chelsea,2023-05-06 15:00:00,Bournemouth,Chelsea,3.3,3.5,2.15,3.4,3.4,2.1,3.53,3.59,2.24,3.42,3.47,2.17,0.2791510368494669,0.27498178908183635,0.44586717406824183
ENG-Premier League,2223,2023-05-06 Liverpool-Brentford,2023-05-06 17:30:00,Liverpool,Brentford,1.44,5.0,6.0,1.47,4.6,6.0,1.52,5.3,6.5,1.48,4.91,6.16,0.6584315533389061,0.19121104349907694,0.15035740316158988
ENG-Premier League,2223,2023-05-06 Manchester City-Leeds United,2023-05-06 15:00:00,Manchester City,Leeds United,1.17,8.5,15.0,1.15,7.5,17.0,1.19,9.3,19.0,1.17,8.41,15.94,0.8380464785313766,0.10865527459701356,0.05329824687124286
ENG-Premier League,2223,2023-05-06 Tottenham-Crystal Palace,2023-05-06 15:00:00,Tottenham,Crystal Palace,1.8,3.8,4.2,1.78,3.75,4.33,1.87,4.1,4.4,1.82,3.92,4.21,0.5333368519611615,0.24202235729122853,0.22464079074806034
ENG-Premier League,2223,2023-05-06 Wolves-Aston Villa,2023-05-06 15:00:00,Wolves,Aston Villa,2.88,3.3,2.5,3.0,3.2,2.45,3.09,3.38,2.56,2.98,3.26,2.51,0.3221079265276806,0.2935785438466829,0.38431352962515775
ENG-Premier League,2223,2023-05-07 Newcastle Utd-Arsenal,2023-05-07 16:30:00,Newcastle Utd,Arsenal,2.45,3.75,2.63,2.5,3.6,2.62,2.6,3.94,2.85,2.49,3.73,2.71,0.38817266597007277,0.2559476941568301,0.3558796398735519
ENG-Premier League,2223,2023-05-07 West Ham-Manchester Utd,2023-05-07 19:00:00,West Ham,Manchester Utd,3.4,3.75,2.05,3.3,3.6,2.1,3.58,3.9,2.13,3.43,3.74,2.08,0.2788478806187101,0.25492511220305875,0.46622700717776405
ENG-Premier League,2223,2023-05-08 Brighton-Everton,2023-05-08 17:30:00,Brighton,Everton,1.33,5.25,9.0,1.33,5.0,9.0,1.39,5.6,9.2,1.35,5.3,8.47,0.7203733756150358,0.1746145873694906,0.10501203701586634
ENG-Premier League,2223,2023-05-08 Fulham-Leicester City,2023-05-08 15:00:00,Fulham,Leicester City,2.63,3.5,2.6,2.6,3.5,2.55,2.8,3.7,2.68,2.67,3.53,2.6,0.3601011990019055,0.26981905186621874,0.37007974913233876
ENG-Premier League,2223,2023-05-08 Nott'ham Forest-Southampton,2023-05-08 20:00:00,Nott'ham Forest,Southampton,2.1,3.6,3.4,2.1,3.4,3.5,2.2,3.72,3.54,2.13,3.52,3.46,0.45400921586479437,0.2705586700883481,0.27543211404638307
ENG-Premier League,2223,2023-05-13 Aston Villa-Tottenham,2023-05-13 15:00:00,Aston Villa,Tottenham,2.25,3.6,2.9,2.2,3.5,3.1,2.38,3.78,3.14,2.3,3.6,3.03,0.419668974355119,0.26431707461141934,0.3160139510339337
ENG-Premier League,2223,2023-05-13 Chelsea-Nott'ham Forest,2023-05-13 15:00:00,Chelsea,Nott'ham Forest,1.5,4.5,6.0,1.5,4.2,6.5,1.55,4.6,7.1,1.51,4.4,6.68,0.6461365375019783,0.215302812688186,0.13856064980941585
ENG-Premier League,2223,2023-05-13 Crystal Palace-Bournemouth,2023-05-13 15:00:00,Crystal Palace,Bournemouth,1.83,3.6,4.2,1.83,3.6,4.2,1.91,3.88,4.4,1.88,3.7,4.18,0.5162291662628608,0.25723843855510886,0.2265323951824926
ENG-Premier League,2223,2023-05-13 Leeds United-Newcastle Utd,2023-05-13 12:30:00,Leeds United,Newcastle Utd,4.33,4.2,1.7,4.6,4.0,1.7,4.8,4.4,1.77,4.62,4.2,1.71,0.20459827275261974,0.22602118164630772,0.5693805456015216
ENG-Premier League,2223,2023-05-13 Manchester Utd-Wolves,2023-05-13 15:00:00,Manchester Utd,Wolves,1.36,5.0,7.5,1.36,4.8,8.5,1.41,5.4,9.0,1.38,5.1,8.37,0.7075180663256804,0.18409608232263425,0.10838585135210746
ENG-Premier League,2223,2023-05-13 Southampton-Fulham,2023-05-13 15:00:00,Southampton,Fulham,2.75,3.3,2.5,2.88,3.3,2.45,2.9,3.64,2.57,2.82,3.44,2.51,0.3399631249272165,0.27674730480136683,0.3832895702709633
ENG-Premier League,2223,2023-05-14 Arsenal-Brighton,2023-05-14 16:30:00,Arsenal,Brighton,1.73,4.2,4.2,1.73,4.0,4.33,1.81,4.5,4.35,1.77,4.19,4.21,0.5490496335826648,0.22603603081454868,0.2249143356023328
ENG-Premier League,2223,2023-05-14 Brentford-West Ham,2023-05-14 14:00:00,Brentford,West Ham,2.0,3.5,3.6,2.05,3.4,3.6,2.1,3.71,3.81,2.05,3.56,3.66,0.4723811854823408,0.2676060279682049,0.2600127865499087
ENG-Premier League,2223,2023-05-14 Everton-Manchester City,2023-05-14 14:00:00,Everton,Manchester City,9.0,4.75,1.36,9.0,4.8,1.35,10.0,5.7,1.39,8.86,5.21,1.36,0.10187748015633546,0.18001475105605058,0.7181077687871833
ENG-Premier League,2223,2023-05-15 Leicester City-Liverpool,2023-05-15 20:00:00,Leicester City,Liverpool,5.25,4.33,1.57,5.0,4.4,1.57,5.5,4.9,1.64,5.11,4.59,1.59,0.1831209111257641,0.20503946923253202,0.6118396196421256
ENG-Premier League,2223,2023-05-18 Newcastle Utd-Brighton,2023-05-18 19:30:00,Newcastle Utd,Brighton,2.0,3.8,3.5,2.0,3.7,3.4,2.07,4.0,3.65,2.02,3.86,3.49,0.4800186684999305,0.24639963118577285,0.2735817003138237
ENG-Premier League,2223,2023-05-20 Bournemouth-Manchester Utd,2023-05-20 15:00:00,Bournemouth,Manchester Utd,6.0,4.75,1.5,6.5,4.5,1.47,6.5,5.1,1.55,6.06,4.77,1.51,0.15436973331779666,0.19855074711315682,0.6470795195685904
ENG-Premier League,2223,2023-05-20 Fulham-Crystal Palace,2023-05-20 15:00:00,Fulham,Crystal Palace,2.45,3.4,2.9,2.38,3.3,3.0,2.51,3.52,3.11,2.45,3.4,2.97,0.3945742189584027,0.2816288236390641,0.3237969574030108
ENG-Premier League,2223,2023-05-20 Liverpool-Aston Villa,2023-05-20 15:00:00,Liverpool,Aston Villa,1.45,5.0,6.25,1.47,4.5,6.5,1.53,5.2,6.5,1.49,4.86,6.16,0.6549377490491286,0.19400991199201917,0.15105233895843226
ENG-Premier League,2223,2023-05-20 Nott'ham Forest-Arsenal,2023-05-20 17:30:00,Nott'ham Forest,Arsenal,5.25,4.33,1.57,5.5,4.33,1.55,5.6,4.6,1.7,5.37,4.45,1.59,0.1745142149185362,0.21260454708026533,0.6128812380007524
ENG-Premier League,2223,2023-05-20 Tottenham-Brentford,2023-05-20 12:30:00,Tottenham,Brentford,1.83,3.9,4.0,1.83,3.6,4.2,1.9,4.1,4.3,1.85,3.88,4.13,0.525150718484717,0.2451442354419429,0.2297050460737839
ENG-Premier League,2223,2023-05-20 Wolves-Everton,2023-05-20 15:00:00,Wolves,Everton,2.75,3.3,2.6,2.7,3.25,2.6,2.88,3.48,2.75,2.77,3.35,2.63,0.3476187155751583,0.2857332586501059,0.36664802577426037
ENG-Premier League,2223,2023-05-21 Brighton-Southampton,2023-05-21 14:00:00,Brighton,Southampton,1.22,7.0,11.0,1.22,6.0,13.0,1.25,7.6,13.5,1.23,6.91,12.43,0.7959124803050599,0.1337568241073631,0.07033069558722484
ENG-Premier League,2223,2023-05-21 Manchester City-Chelsea,2023-05-21 16:00:00,Manchester City,Chelsea,1.25,6.0,11.0,1.24,6.0,12.0,1.28,6.85,13.25,1.26,6.41,11.48,0.7773535986010819,0.14536227755205874,0.0772841238464755
ENG-Premier League,2223,2023-05-21 West Ham-Leeds United,2023-05-21 13:30:00,West Ham,Leeds United,2.4,3.5,2.88,2.4,3.4,2.88,2.55,3.72,2.93,2.45,3.56,2.84,0.3938164724499025,0.2678510555169212,0.3383324720336511
ENG-Premier League,2223,2023-05-22 Newcastle Utd-Leicester City,2023-05-22 20:00:00,Newcastle Utd,Leicester City,1.36,5.5,7.0,1.36,5.0,8.0,1.42,5.9,8.5,1.38,5.39,7.66,0.7073008212266187,0.17351615323624583,0.11918302553673374
ENG-Premier League,2223,2023-05-24 Brighton-Manchester City,2023-05-24 20:00:00,Brighton,Manchester City,4.0,4.33,1.75,3.9,4.0,1.8,4.22,4.5,1.85,3.97,4.22,1.81,0.23907047833902834,0.2243073882454487,0.5366221334150573
ENG-Premier League,2223,2023-05-25 Manchester Utd-Chelsea,2023-05-25 20:00:00,Manchester Utd,Chelsea,1.6,4.33,5.0,1.6,4.2,5.0,1.7,4.65,5.4,1.63,4.35,5.12,0.5980611479545489,0.2180791130989032,0.1838597389461157
ENG-Premier League,2223,2023-05-28 Arsenal-Wolves,2023-05-28 16:30:00,Arsenal,Wolves,1.36,5.25,8.0,1.3,4.75,7.0,1.43,5.7,8.5,1.37,5.33,7.87,0.7108957327388244,0.1744308644713768,0.11467340278940319
ENG-Premier League,2223,2023-05-28 Aston Villa-Brighton,2023-05-28 16:30:00,Aston Villa,Brighton,2.0,3.6,3.5,1.95,3.6,3.0,2.1,4.08,3.55,2.04,3.88,3.37,0.47375078926857733,0.24384380389875882,0.2824054068322123
ENG-Premier League,2223,2023-05-28 Brentford-Manchester City,2023-05-28 16:30:00,Brentford,Manchester City,3.8,4.0,1.83,3.5,3.7,1.75,4.05,4.3,1.92,3.88,4.01,1.87,0.2446942556477349,0.2364286728410025,0.5188770715108219
ENG-Premier League,2223,2023-05-28 Chelsea-Newcastle Utd,2023-05-28 16:30:00,Chelsea,Newcastle Utd,2.9,3.5,2.38,2.75,3.4,2.15,3.0,3.86,2.48,2.87,3.64,2.38,0.33397778034584613,0.26107017199903154,0.4049520476546774
ENG-Premier League,2223,2023-05-28 Crystal Palace-Nott'ham Forest,2023-05-28 16:30:00,Crystal Palace,Nott'ham Forest,1.67,4.0,5.0,1.62,3.7,4.2,1.74,4.4,5.0,1.69,4.15,4.77,0.5750744875721103,0.227949040024041,0.19697647240431562
ENG-Premier League,2223,2023-05-28 Everton-Bournemouth,2023-05-28 16:30:00,Everton,Bournemouth,1.5,4.5,6.5,1.36,4.2,6.5,1.53,5.0,7.25,1.49,4.61,6.58,0.6546108532255375,0.20480972293277852,0.1405794238412356
ENG-Premier League,2223,2023-05-28 Leeds United-Tottenham,2023-05-28 16:30:00,Leeds United,Tottenham,2.75,3.8,2.3,2.6,3.5,2.2,2.88,4.1,2.45,2.77,3.84,2.37,0.34640593631927347,0.2469044943372286,0.4066895693430505
ENG-Premier League,2223,2023-05-28 Leicester City-West Ham,2023-05-28 16:30:00,Leicester City,West Ham,1.91,3.8,3.6,1.85,3.6,3.3,2.0,4.2,3.82,1.94,3.92,3.65,0.4987900028629152,0.2412771213626072,0.2599328757740393
ENG-Premier League,2223,2023-05-28 Manchester Utd-Fulham,2023-05-28 16:30:00,Manchester Utd,Fulham,1.5,4.33,6.0,1.44,4.2,5.5,1.56,4.9,6.0,1.53,4.59,5.76,0.635207536814243,0.20425138323639658,0.1605410799497706
ENG-Premier League,2223,2023-05-28 Southampton-Liverpool,2023-05-28 16:30:00,Southampton,Liverpool,6.5,4.75,1.44,6.0,4.75,1.33,7.1,5.6,1.46,6.74,5.2,1.42,0.13563392489303489,0.17901202599675847,0.6853540491098015
