,,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
1819,Manchester City,38,32,2,4,95,23,98,93.72,90.68,25.73,22.69,67.99,8.44,26.31,582,135,90.64
1819,Liverpool,38,30,7,1,89,22,97,79.46,74.13,29.15,28.38,45.75,9.99,19.15,431,152,83.45
1819,Chelsea,38,21,9,8,63,39,72,63.97,60.16,38.11,36.45,23.71,9.79,14.84,376,188,71.45
1819,Tottenham,38,23,2,13,67,39,71,61.75,58.7,49.15,45.34,13.36,9.4,14.45,270,202,61.44
1819,Arsenal,38,21,7,10,73,51,70,64.8,60.99,57.3,51.97,9.02,9.47,12.79,400,253,58.97
1819,Manchester Utd,38,19,9,10,65,54,66,68.62,59.38,52.3,47.73,11.64,10.49,13.37,313,268,61.86
1819,Wolves,38,16,9,13,47,46,57,53.06,50.01,42.69,39.65,10.37,13.66,11.72,184,220,59.91
1819,Everton,38,15,9,14,54,46,54,53.87,49.92,49.31,45.4,4.53,9.81,10.08,211,210,55.54
1819,Leicester City,38,15,7,16,51,48,52,52.11,46.79,44.64,40.84,5.95,11.27,10.57,205,253,56.24
1819,West Ham,38,15,7,16,52,55,52,47.96,44.15,65.66,61.86,-17.7,12.2,9.79,261,293,43.72
1819,Watford,38,14,8,16,52,59,50,51.73,50.97,63.29,59.49,-8.51,11.36,10.0,275,264,46.0
1819,Crystal Palace,38,14,7,17,51,53,49,50.64,42.27,52.8,49.0,-6.73,14.16,8.78,256,261,51.93
1819,Newcastle Utd,38,12,9,17,42,48,45,39.91,37.63,57.55,52.98,-15.35,13.99,9.4,178,305,39.22
1819,Bournemouth,38,13,6,19,56,70,45,58.81,51.96,62.42,58.62,-6.66,15.34,10.3,280,313,51.49
1819,Burnley,38,11,7,20,45,68,40,44.74,43.22,66.12,63.84,-20.62,13.58,10.16,193,315,42.0
1819,Southampton,38,9,12,17,45,65,39,49.67,45.87,59.27,56.99,-11.12,11.13,10.09,206,300,45.11
1819,Brighton,38,9,9,20,35,60,36,37.03,32.46,62.46,54.85,-22.39,13.63,10.15,153,321,36.19
1819,Cardiff City,38,10,4,24,34,69,34,41.77,38.73,66.5,61.17,-22.45,14.64,5.65,143,357,37.45
1819,Fulham,38,7,5,26,34,81,26,42.62,40.34,73.59,68.26,-27.92,13.75,10.98,171,335,33.6
1819,Huddersfield,38,3,7,28,22,76,16,29.0,28.24,67.19,61.1,-32.86,10.93,10.68,133,276,29.61
1920,Liverpool,38,32,3,3,85,33,99,75.19,71.39,39.57,38.81,32.58,8.01,21.33,429,145,74.28
1920,Manchester City,38,26,3,9,102,35,81,102.21,93.53,37.0,34.71,58.82,8.49,23.77,547,135,86.76
1920,Manchester Utd,38,18,12,8,66,36,66,66.19,55.53,38.06,35.78,19.75,9.64,11.1,290,178,70.99
1920,Chelsea,38,20,6,12,69,54,66,76.23,70.9,41.09,39.57,31.33,9.01,14.66,326,169,73.49
1920,Leicester City,38,18,8,12,67,41,62,61.02,55.67,47.89,40.28,15.39,7.95,12.75,293,203,61.16
1920,Tottenham,38,16,11,11,61,47,59,49.02,45.83,54.13,48.8,-2.97,10.94,10.11,224,264,49.26
1920,Wolves,38,15,14,9,51,40,59,54.22,51.18,37.39,34.96,16.22,13.39,10.29,172,193,63.82
1920,Arsenal,38,14,14,10,56,48,56,50.82,48.54,57.25,51.01,-2.47,11.02,11.45,265,253,50.15
1920,Sheffield Utd,38,14,12,12,39,39,54,45.81,45.05,52.04,49.76,-4.71,13.71,11.35,198,231,49.34
1920,Burnley,38,15,9,14,43,50,54,49.35,47.06,53.84,50.02,-2.95,11.89,9.35,145,263,49.54
1920,Southampton,38,15,7,16,51,60,52,56.5,52.54,56.59,53.55,-1.01,8.26,9.97,230,249,56.87
1920,Everton,38,13,10,15,44,56,49,53.71,52.95,49.21,46.17,6.78,10.17,10.38,203,215,55.78
1920,Newcastle Utd,38,11,11,16,38,58,44,36.49,35.73,67.03,65.51,-29.78,19.0,7.55,132,344,31.92
1920,Crystal Palace,38,11,10,17,31,50,43,34.45,32.16,57.39,56.63,-24.47,13.0,7.99,225,281,38.26
1920,Brighton,38,9,14,15,39,54,41,47.42,45.9,60.42,58.89,-12.99,10.36,12.78,242,264,48.02
1920,West Ham,38,10,9,19,49,62,39,49.07,46.02,68.32,63.76,-17.73,13.22,9.5,217,308,38.75
1920,Aston Villa,38,9,8,21,41,67,35,45.09,42.65,71.6,66.88,-24.23,12.34,7.89,186,343,37.23
1920,Bournemouth,38,9,7,22,40,65,34,44.67,41.63,63.29,58.73,-17.1,13.38,9.15,210,326,39.2
1920,Watford,38,8,10,20,36,64,34,48.56,42.47,59.53,52.52,-10.05,12.2,9.64,227,259,47.87
1920,Norwich City,38,5,6,27,26,75,21,37.23,35.71,71.61,66.13,-30.41,12.59,9.65,207,345,33.12
2021,Manchester City,38,27,5,6,83,32,86,77.72,70.86,30.61,22.82,48.05,10.11,20.39,405,150,83.38
2021,Manchester Utd,38,21,11,6,73,44,74,63.17,54.8,41.92,38.87,15.93,10.95,12.46,339,186,65.64
2021,Liverpool,38,20,9,9,68,42,69,72.21,67.64,47.3,41.22,26.43,9.13,18.57,458,144,68.8
2021,Chelsea,38,19,10,9,58,36,67,68.66,61.04,30.9,27.86,33.18,9.19,16.5,337,179,77.41
2021,Leicester City,38,20,6,12,68,50,66,58.8,49.67,47.07,44.02,5.65,9.99,13.5,237,209,59.75
2021,West Ham,38,19,8,11,62,47,65,60.34,57.13,49.86,46.06,11.08,16.45,11.08,172,286,59.18
2021,Tottenham,38,18,8,12,68,45,62,56.68,52.87,52.55,44.94,7.93,11.27,11.52,193,293,53.98
2021,Arsenal,38,18,7,13,55,39,61,52.25,47.68,43.23,40.95,6.73,13.64,16.28,292,203,58.72
2021,Leeds United,38,18,5,15,62,54,59,59.26,56.21,63.02,56.01,0.2,7.17,12.27,305,283,51.81
2021,Everton,38,17,8,13,47,48,59,49.24,45.42,50.16,47.12,-1.7,14.21,11.82,207,270,50.72
2021,Aston Villa,38,16,7,15,55,46,55,56.72,52.15,53.25,48.69,3.46,10.84,9.26,274,312,54.06
2021,Newcastle Utd,38,12,9,17,46,62,45,43.96,38.46,60.02,56.22,-17.76,18.0,8.27,138,322,42.65
2021,Wolves,38,12,9,17,36,52,45,38.62,35.57,52.19,46.1,-10.53,14.12,11.51,139,270,44.26
2021,Crystal Palace,38,12,8,18,41,66,44,35.29,32.24,61.9,58.86,-26.62,16.14,7.6,201,272,37.95
2021,Southampton,38,12,7,19,47,68,43,45.28,40.72,58.55,51.7,-10.98,9.73,10.47,222,275,44.17
2021,Brighton,38,9,14,15,40,46,41,53.82,46.97,39.91,34.58,12.39,10.31,13.63,311,208,61.41
2021,Burnley,38,10,9,19,33,55,39,38.13,35.84,59.06,56.77,-20.93,13.16,9.72,233,332,38.1
2021,Fulham,38,5,13,20,27,53,28,41.06,36.49,57.64,52.31,-15.82,12.16,10.38,224,227,42.42
2021,West Brom,38,5,11,22,35,76,26,34.97,31.93,74.04,65.67,-33.74,15.99,7.99,164,343,29.59
2021,Sheffield Utd,38,7,2,29,20,63,23,33.16,30.11,66.11,63.06,-32.95,14.1,11.49,198,285,29.92
2122,Manchester City,38,29,6,3,99,26,93,93.4,86.32,25.21,24.45,61.87,8.52,22.92,508,138,91.88
2122,Liverpool,38,28,8,2,94,26,92,93.02,86.83,32.73,32.73,54.1,8.07,21.71,461,159,86.56
2122,Chelsea,38,21,11,6,76,33,74,69.3,62.45,35.12,30.55,31.9,8.76,16.36,385,163,73.38
2122,Tottenham,38,22,5,11,69,40,71,67.95,64.15,43.7,42.18,21.97,12.53,12.38,285,255,66.09
2122,Arsenal,38,22,3,13,61,48,69,63.39,57.19,48.39,43.82,13.37,12.55,13.94,314,220,64.76
2122,Manchester Utd,38,16,10,12,57,57,58,57.21,53.41,56.85,53.05,0.36,12.84,12.09,293,261,54.52
2122,West Ham,38,16,8,14,60,51,56,54.98,50.26,53.88,49.31,0.95,14.06,13.78,239,294,53.56
2122,Leicester City,38,14,10,14,62,59,52,49.49,47.97,66.11,59.06,-11.1,11.78,12.4,252,293,42.31
2122,Brighton,38,12,15,11,42,44,51,49.57,44.24,47.21,44.17,0.07,9.37,13.44,305,244,54.18
2122,Wolves,38,15,6,17,38,43,51,39.04,38.28,58.48,50.87,-12.59,14.64,11.32,181,309,40.54
2122,Newcastle Utd,38,13,10,15,44,62,49,41.53,39.24,62.71,57.99,-18.75,13.8,7.85,170,293,41.53
2122,Crystal Palace,38,11,15,12,50,46,48,48.84,42.66,41.33,38.29,4.38,11.38,9.56,213,238,58.15
2122,Brentford,38,13,7,18,48,56,46,52.89,48.32,49.5,45.69,2.63,11.66,10.2,232,226,56.0
2122,Aston Villa,38,13,6,19,52,54,45,43.13,40.85,53.1,48.42,-7.57,12.91,8.93,258,258,46.2
2122,Southampton,38,9,13,16,43,67,40,47.35,44.3,64.56,63.04,-18.73,10.5,9.55,209,286,43.45
2122,Everton,38,11,6,21,43,66,39,44.47,39.14,60.69,59.17,-20.03,14.03,7.83,190,299,43.54
2122,Leeds United,38,9,11,18,42,79,38,51.19,47.38,71.31,67.5,-20.12,8.58,11.34,239,300,43.86
2122,Burnley,38,7,14,17,34,53,35,41.11,39.58,60.22,56.42,-16.83,12.89,9.5,184,316,38.1
2122,Watford,38,6,5,27,34,77,23,39.34,37.82,67.53,62.21,-24.39,14.27,7.62,159,339,35.45
2122,Norwich City,38,5,7,26,23,84,22,31.51,29.23,80.08,70.72,-41.49,15.33,9.35,188,374,25.04
2223,Manchester City,38,28,5,5,94,33,89,84.32,76.71,34.21,31.92,44.78,10.33,22.32,450,154,83.04
2223,Arsenal,38,26,6,6,88,43,84,76.51,73.47,45.16,41.36,32.11,9.55,14.36,452,199,72.53
2223,Manchester Utd,38,23,6,9,58,43,75,71.9,69.62,50.29,48.0,21.61,11.52,13.66,391,253,66.4
2223,Newcastle Utd,38,19,14,5,68,33,71,76.98,72.41,41.86,38.05,34.36,9.19,10.66,376,215,71.67
2223,Liverpool,38,19,10,9,75,47,67,80.77,77.73,55.77,52.73,25.0,8.83,19.1,419,209,67.37
2223,Brighton,38,18,8,12,72,53,62,77.72,73.16,50.15,43.98,29.18,8.93,15.01,362,231,70.86
2223,Aston Villa,38,18,7,13,51,46,61,50.0,46.95,53.96,49.24,-2.29,11.78,9.56,258,237,54.37
2223,Tottenham,38,18,6,14,70,63,60,57.83,53.27,51.66,48.62,4.65,12.65,12.73,239,280,57.6
2223,Brentford,38,15,14,9,58,46,59,59.23,53.14,51.45,49.93,3.21,11.31,9.78,231,301,58.26
2223,Fulham,38,15,7,16,55,53,52,47.98,41.13,71.49,65.31,-24.18,12.96,10.43,203,286,39.24
2223,Crystal Palace,38,11,12,15,40,49,45,40.72,38.3,51.63,48.58,-10.29,13.05,8.67,197,311,44.24
2223,Chelsea,38,11,11,16,38,47,44,51.89,49.61,54.02,53.26,-3.65,9.1,13.33,322,214,52.28
2223,Wolves,38,11,8,19,31,58,41,35.13,32.84,62.68,59.64,-26.79,11.99,11.3,192,301,35.01
2223,West Ham,38,11,7,20,42,55,40,51.21,45.12,55.31,50.75,-5.62,15.96,11.11,173,285,51.62
2223,Bournemouth,38,11,6,21,37,71,39,40.08,40.08,67.6,62.27,-22.19,15.78,8.81,200,383,34.73
2223,Nott'ham Forest,38,9,11,18,38,68,38,39.57,35.01,68.46,61.61,-26.6,16.48,8.02,157,390,35.05
2223,Everton,38,8,12,18,34,57,36,48.65,46.37,68.58,64.02,-17.65,13.65,9.62,197,309,40.71
2223,Leicester City,38,9,7,22,51,68,34,48.99,44.33,59.79,55.98,-11.65,12.02,12.67,205,289,45.07
2223,Leeds United,38,7,10,21,48,78,31,47.8,45.51,69.58,65.01,-19.5,9.48,9.02,230,267,40.58
2223,Southampton,38,6,7,25,36,73,25,39.27,36.13,62.9,60.62,-24.48,12.37,8.4,199,339,36.47
